#Opcode number in hex - ascii representation of the opcode - relevance
#Order opcodes by value of hex number (0x10 < 0xFF < 0x7F00)
#Separate opcodes by a line feed only; no tabs, etc
#There must be one and only one space between each element (hex code, relevance, ascii)
#Other spaces are interpreted as being part of the ascii representation
#Remove leading 0's
#
1 &femto; 0
2 &pico; 0
3  0
3 &nano; 0
4 µ 0
4 &micro; 0
5 &milli; 0
6 &kilo; 0
7  0
7 &mega; 0
8  0
8 &giga; 0
9  0
9 &tera; 0
A  0
A &peta; 0
B  0
B &exa; 0
C ◢ 0
C &disp; 5
E -> 0
F  0
F &E; 5
10 <= 0
11 != 0
12 >= 0
13 => 0
14 f₁ 0
14 f1 0
15 f₂ 0
15 f2 0
16 f₃ 0
16 f3 0
17 f₄ 0
17 f4 0
18 f₅ 0
18 f5 0
19 f₆ 0
19 f6 0
1A  0
1A &hexA; 0
1B  0
1B &hexB; 0
1C &hexC; 0
1D  0
1D &hexD; 0
1E  0
1E &hexE; 0
1F  0
1F &hexF; 0
26 &amp; 0
2A  0
2A &ascii_*; 0
2B &ascii_+; 0
2D &ascii_-; 0
2F  0
2F &ascii_/; 0
3D &=; 0
5E &ascii_^; 0
80 Pol( 0
81 sin  3
82 cos  3
83 tan  3
84 &hex; 0
85 ln  3
86 √ 0
86 &sqrt; 3
87 ﹣ 0
87 &neg; 5
88  0
88 &nPr; 0
89 + 0
8A &bitwisexnor; 0
8B ² 0
8B &^2; 4
8C  0
8C &dms; 0
8D ∫( 0
8D &integral;( 0
8E Mod 0
8F Σx² 0
8F sum(x^2) 0
90 &x; 0
91 asin  0
92 acos  0
93 atan  0
94 &dec; 0
95 log  4
96 √ 0
96 &cbrt; 4
97 Abs  4
98  0
98 &nCr; 0
99 - 0
99 &-; 0
9A &bitwisexor; 0
9B  0
9B &^-1; 4
9C ° 0
9C &deg; 0
9E Med 0
9F Σx 0
9F &sum(x); 0
A0 Rec( 0
A1 sinh  0
A2 cosh  0
A3 tanh  0
A4 &oct; 0
A5 e^ 4
A6 Int  5
A7 &bitwiseNot; 0
A8 ^ 0
A9 * 0
AA &bitwiseor; 0
AB &fact; 0
AC  0
AC &rad; 0
AD minY 0
AE minX 0
AF &n_stat; 0
B1 asinh  0
B2 acosh  0
B3 atanh  0
B4 &bin; 0
B5  0
B5 &_10; 4
B6 Frac  0
B7 Neg  0
B8 √ 0
B8 &nth_root; 4
B9 / 0
BA &bitwiseand; 0
BB ⌟ 0
BB &frac; 4
BC  0
BC &gra; 0
BD maxY 0
BE maxX 0
BF Σy² 0
BF sum(y^2) 0
C0 Ans 5
C1 Ran#  4
C2  0
C2 &x_overline; 0
C3  0
C3 &y_overline; 0
C4 σx 0
C4 sigma(x) 0
C5 sx 0
C6 σy 0
C6 sigma(y) 0
C7 sy 0
C8 &a_reg; 0
